line_id	speaker	jp_name	jp_text	cn_name	cn_text	tw_name	tw_text	vn_name	vn_text
0		ざくざく、歩く。		沙沙，沙沙。		沙沙，沙沙。		Lạo xạo, bước đi.
1		夏草を踏み、完全に[うず]埋もれているかつてのレールに、\nその役割を思い出させる。		我们沿着被夏草埋没的旧铁轨，一边走一边说着。		我們沿着被夏草埋沒的舊鐵軌，一邊走一邊說着。		Giẫm lên cỏ mùa hè, nhắc nhở những đường ray đã bị chôn vùi hoàn toàn về vai trò của chúng.
2	双鉄		「しかし、ハチロクには助けられたな」	双铁	「真是多亏了八六」	雙鐵	「真是多虧了八六」	Song Thiết	「Thật sự phải cảm ơn Hachiroku nhỉ」
3	ポーレット		「そうですね。ちょっと盲点でした」	波莱特	「是啊。真是出乎意料」	波萊特	「是啊。真是出乎意料」	Paulette	「Đúng vậy nhỉ. Thật sự là một điểm mù」
4			『でしたら、引けばいいのです。8620でキハ07を。キハ07を動力車でなく、ただ客車として引けばいい』		"既然这样，就把Ｋｉｈａ０７当作普通的客运车厢而不是动力车，然后用８６２０来牵引它吧"		"既然這樣，就把Ｋｉｈａ０７當作普通的客運車廂而不是動力車，然後用８６２０來牽引它吧"		『Vậy thì, chỉ cần kéo là được. Dùng 8620 kéo Kiha 07. Không coi Kiha 07 là đầu máy, mà chỉ đơn giản kéo nó như một toa khách』
5			そのハチロクの一言の上、日々姫と凪とが、機関士代理と助士とを見事に勤めてくれて――		经八六这样提醒，再加上日日姬和凪两人将代理司机及司炉的工作做得井井有条——		經八六這樣提醒，再加上日日姬和凪兩人將代理司機及司爐的工作做得井井有條——		Nhờ lời gợi ý đó của Hachiroku, cộng thêm Hibiki và Nagi đã làm tốt vai trò lái tàu và phụ lái thay——
6			結果、今日の定時の往復運行から、ポーレットとれいなとは解放されたのだ。		波莱特和玲奈总算从今天的定点发车任务中解放了出来。		波萊特和玲奈總算從今天的定點發車任務中解放了出來。		Kết quả là, Paulette và Reina đã được giải phóng khỏi chuyến vận hành khứ hồi định kỳ hôm nay.
7	ポーレット		「一日フルに使えると、やっぱり余裕が違いますよね」	波莱特	「一整天的时间对于调查来说挺充裕的」	波萊特	「一整天的時間對於調查來說挺充裕的」	Paulette	「Có cả ngày để dùng thì quả là khác hẳn nhỉ」
8	双鉄		「うむ。おかげで成果も出せてる」	双铁	「是啊。我们也因此有了收获」	雙鐵	「是啊。我們也因此有了收穫」	Song Thiết	「Ừm. Nhờ vậy mà cũng có thành quả rồi」
9			今日の調査で、優先順位を明確にできたような気がする。		经过今天的调查，我们弄清了待办事项的先后顺序。		經過今天的調查，我們弄清了待辦事項的先後順序。		Có cảm giác qua cuộc khảo sát hôm nay, chúng tôi đã xác định rõ được thứ tự ưu tiên.
