line_id	speaker	jp_name	jp_text	cn_name	cn_text	tw_name	tw_text	vn_name	vn_text
0			Bước đi xạo xạc.		「Tin tức về việc nhà máy điện có thể hoạt động lại — thật là tin vui. Reina, cảm ơn em đã để ý điều đó」		「Tin tức về việc nhà máy điện có thể hoạt động lại — thật là tin vui. Reina, cảm ơn em đã để ý điều đó」		
1			夏草を踏み、完全に[うず]埋もれているかつてのレールに、\nその役割を思い出させる。		我们沿着被夏草埋没的旧铁轨，一边走一边说着。		「Chẳng có gì lạ khi một mỏ than có nhà máy điện riêng. Reina chỉ tìm thử trên bản đồ thôi ạ」		
2	双鉄		「しかし、ハチロクには助けられたな」	双铁	「真是多亏了八六」	雙鐵	「真是多虧了八六」		
3	ポーレット		「そうですね。ちょっと盲点でした」	波莱特	「Ồ? Mỏ than tự xây nhà máy điện riêng à?」	波萊特	「Ồ? Mỏ than tự xây nhà máy điện riêng à?」		
4			『でしたら、引けばいいのです。\x%l8620;#00ffc040;8620%l;#;で\x%lキハ07;#00ffc040;キハ07%l;#;を。\n\x%lキハ07;#00ffc040;キハ07%l;#;を動力車でなく、ただ\x%l客車;#00ffc040;客車%l;#;として引けばいい』		“既然这样，就把\x%lキハ07;#00ffc040;Ｋｉｈａ０７%l;#;当作普通的\x%l客車;#00ffc040;客运车厢%l;#;而不是动力车，然后用\x%l8620;#00ffc040;８６２０%l;#;来牵引它吧”		“既然這樣，就把\x%lキハ07;#00ffc040;Ｋｉｈａ０７%l;#;當作普通的\x%l客車;#00ffc040;客運車廂%l;#;而不是動力車，然後用\x%l8620;#00ffc040;８６２０%l;#;來牽引它吧”		
5			そのハチロクの一言の上、日々姫と凪とが、\n\x%l機関士;#00ffc040;機関士%l;#;代理と助士とを見事に勤めてくれて――		经八六这样提醒，再加上日日姬和凪两人将代理\x%l機関士;#00ffc040;司机%l;#;及司炉的工作做得井井有条——		經八六這樣提醒，再加上日日姬和凪兩人將代理\x%l機関士;#00ffc040;司機%l;#;及司爐的工作做得井井有條——		
6			結果、今日の定時の往復運行から、\nポーレットとれいなとは解放されたのだ。		波莱特和玲奈总算从今天的定点发车任务中解放了出来。		波萊特和玲奈總算從今天的定點發車任務中解放了出來。		
7	ポーレット		「一日フルに使えると、やっぱり余裕が違いますよね」	波莱特	「一整天的时间对于调查来说挺充裕的」	波萊特	「一整天的時間對於調查來說挺充裕的」		
8	双鉄		「うむ。おかげで成果も出せてる」	双铁	「是啊。我们也因此有了收获」	雙鐵	「是啊。我們也因此有了收穫」		
9			今日の調査で、優先順位を明確にできたような気がする。		经过今天的调查，我们弄清了待办事项的先后顺序。		經過今天的調查，我們弄清了待辦事項的先後順序。		
10			まずは何より炭鉱本体の調査から。\n僕の頭ではそれしか考えられずにいたが――		我原本只想着先要调查煤矿，但是——		我原本只想著先要調查煤礦，但是——		
11	双鉄		「発電所が再稼働可能かもしれんというのは、朗報だな。\nれいなは、よく気づいてくれた」	双铁	「发电厂有望重新启动——这可真是个好消息。玲奈，真亏你注意到了」	雙鐵	「發電廠有望重新啟動——這可真是個好消息。玲奈，真虧你注意到了」		
12			顔を向ければ、\nれいなもほにゃり、僕を見上げて微笑み返す。		我转头看向玲奈，她也带着灿烂的笑容仰望着我。		我轉頭看向玲奈，她也帶著燦爛的笑容仰望著我。		
13	れいな		「鉱山が発電所を持ってるのはめずらしくないですから。\nあるかなぁって、れいな、地図を探しただけですよぉ」	玲奈	「给矿山配备发电厂并不稀奇。玲奈只是在地图上找了一下而已」	玲奈	「給礦山配備發電廠並不稀奇。玲奈只是在地圖上找了一下而已」		
14	双鉄		「ほぅ？　鉱山は自前の発電所を持つものなのか」	双铁	「哦？矿山都是会专门配备发电厂的吗」	雙鐵	「哦？礦山都是會專門配備發電廠的嗎」		
15	れいな		「はいですぅ。その方が便利ですからねぇ」	玲奈	「是的。因为这样更方便呀」	玲奈	「是的。因為這樣更方便呀」		
16			餅は餅屋とはよく言ったものだ。		正所谓术业有专攻。		正所謂術業有專攻。		
17			鉱山鉄道出身だというれいなの目は、\n僕らの気づかぬところまでを良く映してくれる。		矿山铁路出身的玲奈察觉到了我们所忽视的地方。		礦山鐵路出身的玲奈察覺到了我們所忽視的地方。		
18	れいな		「でもでも、炭鉱さんほど便利なのは珍しいですよぉ。\n自分で掘った石炭で火力発電できるなんて、すごいです」	玲奈	「不过不过，像煤矿这么方便的还是比较少见的。能直接用采来的煤炭进行火力发电，真是太厉害了」	玲奈	「不過不過，像煤礦這麼方便的還是比較少見的。能直接用採來的煤炭進行火力發電，真是太厲害了」		
19	双鉄		「む？　とすると……カタカミといったか？\nれいなが元いた鉱山は、炭鉱ではないのか」	双铁	「嗯？也就是说……你之前待过的片上矿山不是煤矿？」	雙鐵	「嗯？也就是說……你之前待過的片上礦山不是煤礦？」		
20			聞いた途端に、\n微笑がはじけて満面の笑みが咲き誇る。		听我这样问，她顿时笑开了花。		聽我這樣問，她頓時笑開了花。		
21	れいな		「はいですぅ！\n[かたかみ,1]硬上は[おうてっこう,2]黄鉄鉱の鉱山ですよぉ」	玲奈	「没错！片上是黄铁矿矿山哦」	玲奈	「沒錯！片上是黃鐵礦礦山哦」		
22	双鉄		「ほう。鉄鉱石を掘っていたのか」	双铁	「哦。是采挖铁矿的啊」	雙鐵	「哦。是採挖鐵礦的啊」		
23	れいな		「あ、違うです。鉄鉱石の一種は一種なんですけど、\n黄鉄鉱は、鉄の原料にはしなかったんです」	玲奈	「啊，不是的。黄铁矿虽然是铁矿的一种，但并不会用作铁的原料」	玲奈	「啊，不是的。黃鐵礦雖然是鐵礦的一種，但並不會用作鐵的原料」		
24	双鉄		「うむ？」	双铁	「嗯？」	雙鐵	「嗯？」		
25			なぞかけのような言葉に首が傾いでしまう。\nれいなは少し慌てた口調で、説明を継ぎ足し始める。		面对这猜谜一般的话语，我不禁满脸疑惑。玲奈见状，有些着急地补充道。		面對這猜謎一般的話語，我不禁滿臉疑惑。玲奈見狀，有些著急地補充道。		
26	れいな		「ええと、なぜかっていうと、\n黄鉄鉱は、[りゅうかてっこう,3]硫化鉄鉱だからなんですよぉ」	玲奈	「嗯……要说原因的话，因为黄铁矿是硫化铁矿」	玲奈	「嗯……要說原因的話，因為黃鐵礦是硫化鐵礦」		
27	双鉄		「りゅうかてっこう？」	双铁	「硫化铁矿？」	雙鐵	「硫化鐵礦？」		
28	れいな		「[いおう,1]硫黄と結びついた鉄の鉱石のことですねぇ。\n結晶はキラキラしてて真四角で、宝物みたいなんですぅ」	玲奈	「就是与硫磺相结合的铁矿。结晶闪闪发光、四四方方的，就像宝藏一样」	玲奈	「就是與硫磺相結合的鐵礦。結晶閃閃發光、四四方方的，就像寶藏一樣」		
29	双鉄		「真四角――とは」	双铁	「四四方方是指——」	雙鐵	「四四方方是指——」		
30	れいな		「サイコロみたいなころってした真四角ですぅ。\nそれがにぶい金色に光って、すごくきれいなんですよぉ」	玲奈	「就像骰子一样四四方方。散发着暗金色的光芒，非常漂亮哦」	玲奈	「就像骰子一樣四四方方。散發著暗金色的光芒，非常漂亮哦」		
31	双鉄		「結晶……で、サイコロ状……\nううむ、自然界のものがそんな形になるのか？」	双铁	「结晶是……骰子的形状……唔，自然界的产物还会出现这种形状吗？」	雙鐵	「結晶是……骰子的形狀……唔，自然界的產物還會出現這種形狀嗎？」		
32	れいな		「はぁい。カドもぜぇんぶ、\nカキっ、カキってきーっちり直角で――わっ！？　」	玲奈	「是的。每个角都是工整的直角——哇！？」	玲奈	「是的。每個角都是工整的直角——哇！？」		
33	ポーレット	双鉄＆ポーレット	『「れいなっ！？」\n「れいなっ！？」』	双铁＆波莱特	『「玲奈！？」\n「玲奈！？」』	雙鐵＆波萊特	『「玲奈！？」\n「玲奈！？」』		
34			手を伸ばす！\nが、ぎりぎり届かずっ――		我赶忙伸手去扶，但还是慢了一点——		我趕忙伸手去扶，但還是慢了一點——		
35			（すてんっ）		（扑咚）		（撲鼕）		
36	れいな		「わぁ。\nれいな、ころんじゃいましたぁ」	玲奈	「哇。玲奈摔倒啦」	玲奈	「哇。玲奈摔倒啦」		
37			尻もちをつき、照れた笑いを浮かべてる。\n見た感じでは、大したショックもなさそうだが――		玲奈坐了个屁股蹲，难为情地笑了起来。看样子是没什么大碍——		玲奈坐了個屁股蹲，難為情地笑了起來。看樣子是沒什麼大礙——		
38	双鉄		「怪我はないか？」	双铁	「有没有受伤？」	雙鐵	「有沒有受傷？」		
39	れいな		「れいな、\x%lレイルロオド;#00ffc040;レイルロオド%l;#;だから、おけがしないです。\nそのかわり、故障と破損はしますけどぉ」	玲奈	「玲奈是\x%lレイルロオド;#00ffc040;铁路人偶%l;#;，所以不会受伤。只不过，还是会出现故障和损坏就是了」	玲奈	「玲奈是\x%lレイルロオド;#00ffc040;鐵路人偶%l;#;，所以不會受傷。只不過，還是會出現故障和損壞就是了」		
40			そのまま差し出した僕の手にすがり、ゆっくりと立つ。		她扶着我仍然悬在半空中的手，慢悠悠地站了起来。		她扶著我仍然懸在半空中的手，慢悠悠地站了起來。		
41			そしてれいなは時間をかけて、\n自分の体を動かし動かし、確かめる。		随后慢慢地活动自己的身体，检查各个部位。		隨後慢慢地活動自己的身體，檢查各個部位。		
42	れいな		「だいじょおぶです。\nれいな、どこも故障も破損もしてません」	玲奈	「没问题。玲奈身上没有故障或损坏的地方」	玲奈	「沒問題。玲奈身上沒有故障或損壞的地方」		
43	双鉄		「それは何よりだ。が、済まなかったな。\n歩くペースが速すぎたよな」	双铁	「那就太好了。真对不起啊，是我走得太快了」	雙鐵	「那就太好了。真對不起啊，是我走得太快了」		
44	れいな		「あぅ～、ちょっとだけ、\nれいなには速かったかもしれないですねぇ」	玲奈	「啊呜～对玲奈来说，可能是有些太快了」	玲奈	「啊嗚～對玲奈來說，可能是有些太快了」		
45			素直な言葉が、自然な反省を促してくる。\nれいなの歩幅を考えず、自分のペースで歩いてしまった。		她这句坦诚的话让我不禁反省。我没有考虑到玲奈的步幅，一直在自顾自地走。		她這句坦誠的話讓我不禁反省。我沒有考慮到玲奈的步幅，一直在自顧自地走。		
46			その上れいなは話に夢中で、身振り手振りまで加えてた。\nあれで転ぶなというのはいささか、無理な話だ。		而玲奈则在顾着说话，甚至还会手舞足蹈。这个样子，不摔跤才叫奇怪。		而玲奈則在顧著說話，甚至還會手舞足蹈。這個樣子，不摔跤才叫奇怪。		
47	双鉄		「とはいえ、日が暮れては調査も出来ん。\nそうそうのんびりもしていられない」	双铁	「话虽如此，可太阳下山就没办法调查了。所以也不能走得太慢」	雙鐵	「話雖如此，可太陽下山就沒辦法調查了。所以也不能走得太慢」		
48			ではあるが、れいなの話は興味深く、有用性を持っている。\n移動中、それを聞けぬではもったいない。		然而，玲奈分享的信息也着实有趣并具有实用价值。若不边走边听，实在是有些可惜。		然而，玲奈分享的訊息也著實有趣並具有實用價值。若不邊走邊聽，實在是有些可惜。		
49			となれば、最善の解決策は――		既然如此，那最好的解决方法就是——		既然如此，那最好的解決方法就是——		
50			（ひょいっ）		（嘿咻）		（嘿咻）		
51	れいな		「ひゃああ」	玲奈	「呀——」	玲奈	「呀——」		
